"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2","2","10uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"D1","1","LED","","","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"D2","1","SS12","","","","Diode_SMD:D_SMA","https://www.vishay.com/docs/88746/ss12.pdf"
"F1","1","250V@500mA","","","","Fuse:Fuseholder_Clip-6.3x32mm_Littelfuse_102_122_Inline_P34.21x7.62mm_D1.98mm_Horizontal","~"
"H1,H2,H3,H4","4","MH","","Excluded from BOM","","MountingHole:MountingHole_3.2mm_M3_Pad_Via","~"
"IC1","1","RT9080-33GJ5","","","","RT9080-33GJ5:SOT94P280X100-5N",""
"J1","1","MOTOR","","","","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm","~"
"J2","1","02X04","","","","Connector_PinSocket_2.54mm:PinSocket_2x04_P2.54mm_Vertical","~"
"J3","1","INPUT","","","","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm","~"
"K1","1","SLA-5VDC-SL-C","","","","SLA-12VDC-SL-C:RELAY_SLA-12VDC-SL-C",""
"M1","1","SI2300","","","","SI2301CDS-T1-GE3:SOT-23",""
"PS1","1","HLK-PM01","","","","Converter_ACDC:Converter_ACDC_Hi-Link_HLK-PMxx","https://h.hlktech.com/download/ACDC%E7%94%B5%E6%BA%90%E6%A8%A1%E5%9D%973W%E7%B3%BB%E5%88%97/1/%E6%B5%B7%E5%87%8C%E7%A7%913W%E7%B3%BB%E5%88%97%E7%94%B5%E6%BA%90%E6%A8%A1%E5%9D%97%E8%A7%84%E6%A0%BC%E4%B9%A6V2.8.pdf"
"R1","1","10K","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R2","1","1K","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"RV1","1","275V-14D","","","","Varistor:RV_Disc_D15.5mm_W7.5mm_P7.5mm","~"
"SW1","1","SW_Push","","","","Button_Switch_SMD:SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS","~"
"TP1,TP2,TP3,TP4","4","TestPoint","","","","TestPoint:TestPoint_Pad_D2.5mm","~"
